a(t)_0,a(t)_1,a(t)_2,a(t)_3,v(t)_0,v(t)_1,v(t)_2,v(t)_3,x(t)_0,x(t)_1,x(t)_2,x(t)_3
0.471156821,1.437792616,0.172390223,0.223713055,1.22258E-05,0.000330353,0.000383347,-0.000187766,1.38821E-07,3.19303E-08,1.89801E-07,-1.70212E-07
0.13146928,1.230080721,-0.007760298,0.159764939,2.00158E-05,0.000379694,0.00038285,-0.000182154,1.39095E-07,4.58166E-08,2.04076E-07,-1.76647E-07
0.207694851,1.029381217,0.007441773,-0.09334877,2.27002E-05,0.000420985,0.000379172,-0.000182672,1.39568E-07,6.14001E-08,2.18218E-07,-1.8296E-07
-0.287799324,0.961131296,0.183881552,-0.016975798,1.72943E-05,0.000456944,0.000379199,-0.000186593,1.39987E-07,7.84168E-08,2.32237E-07,-1.89334E-07
0.090867838,0.158333283,0.40562829,0.527096138,9.65565E-06,0.000475983,0.000386896,-0.000178541,1.40152E-07,9.64326E-08,2.46355E-07,-1.95605E-07
0.043555415,-0.21011957,-0.076528719,0.710334277,8.43039E-06,0.000472378,0.000389545,-0.000156498,1.40144E-07,1.14681E-07,2.60619E-07,-2.01273E-07
0.063185037,-0.516186312,-0.1015463,0.495293064,6.67586E-06,0.000455782,0.000382407,-0.000135145,1.40077E-07,1.32475E-07,2.74745E-07,-2.06082E-07
-0.291937763,-0.107351752,-0.058154563,0.289712982,-1.5386E-06,0.000441221,0.000375645,-0.000121974,1.39818E-07,1.49604E-07,2.88551E-07,-2.10207E-07
-0.938540883,-0.294026471,-0.247881192,0.842619104,-2.90306E-05,0.000430991,0.000366084,-0.000102154,1.38871E-07,1.66194E-07,3.01991E-07,-2.13681E-07
-0.952074696,-0.508569403,-0.423004256,1.234287064,-6.91481E-05,0.000413061,0.000349522,-6.41988E-05,1.36623E-07,1.82181E-07,3.14878E-07,-2.16027E-07
-0.299096143,-0.89975208,-0.486326267,0.747836826,-9.67986E-05,0.000383517,0.00032842,-2.82042E-05,1.33075E-07,1.97195E-07,3.26991E-07,-2.16938E-07
-0.504955518,-1.419152722,-0.53654098,0.521795626,-0.000115733,0.000336525,0.000305203,-6.06913E-06,1.28641E-07,2.10679E-07,3.38204E-07,-2.16723E-07
-0.089377955,-1.153044525,-0.58202749,0.587054621,-0.000130557,0.000284815,0.000280222,1.28887E-05,1.23572E-07,2.22211E-07,3.48446E-07,-2.15716E-07
0.223130109,0.108823376,-0.329637209,0.09553185,-0.000131295,0.000262736,0.000259314,2.35637E-05,1.1822E-07,2.32279E-07,3.57765E-07,-2.1414E-07
-0.534875313,0.484288621,-0.571194519,0.195329667,-0.000140616,0.00027229,0.000238688,2.66508E-05,1.12691E-07,2.42068E-07,3.66248E-07,-2.12302E-07
0.145226793,0.05393327,-0.815325407,0.287262207,-0.000151404,0.00028075,0.000208772,3.34221E-05,1.06794E-07,2.52168E-07,3.73723E-07,-2.10279E-07
0.431002778,-0.180377354,-0.779175602,-0.291747514,-0.000143537,0.000276368,0.000174951,3.07814E-05,1.00861E-07,2.62308E-07,3.79941E-07,-2.08183E-07
-0.387121858,-0.081599346,-0.954837322,-0.128799508,-0.000145957,0.000269387,0.000138561,2.0131E-05,9.50532E-08,2.72192E-07,3.84781E-07,-2.06348E-07
-1.176333346,0.29827887,-0.63906518,-0.790337634,-0.000179346,0.000271655,0.000104999,-9.13638E-08,8.8575E-08,2.81948E-07,3.88253E-07,-2.05113E-07
-1.009509518,0.715213953,-0.44473005,-1.132990104,-0.000224611,0.000289269,8.13868E-05,-3.95962E-05,8.06032E-08,2.9205E-07,3.90608E-07,-2.05033E-07
-0.467150319,0.783463874,-0.562935126,-0.524913058,-0.000256046,0.00031617,5.93249E-05,-7.38452E-05,7.11808E-08,3.02973E-07,3.92071E-07,-2.06372E-07
-0.706676453,0.307890684,-0.492969691,-0.208991129,-0.000281531,0.000335123,3.6411E-05,-9.01635E-05,6.06941E-08,3.14738E-07,3.92659E-07,-2.0868E-07
-0.307037472,-0.219852287,-0.290375168,0.156402249,-0.000303837,0.000334669,1.88312E-05,-9.32921E-05,4.93232E-08,3.26815E-07,3.92462E-07,-2.11353E-07
-1.191656755,-0.415836561,0.033476815,0.03010187,-0.000335409,0.000320265,1.146E-05,-9.18008E-05,3.69537E-08,3.38562E-07,3.91782E-07,-2.14047E-07
-1.602201082,-0.247115984,0.070703932,0.94025112,-0.00039183,0.000305385,1.10741E-05,-7.52066E-05,2.29319E-08,3.49699E-07,3.90952E-07,-2.16381E-07
-0.462340782,-0.195671624,0.371573258,1.001064524,-0.00043399,0.000294798,1.72057E-05,-3.99569E-05,7.05958E-09,3.60304E-07,3.90232E-07,-2.17706E-07
-0.752199281,-0.070234434,0.792323478,0.082993004,-0.000459616,0.000287656,3.72236E-05,-2.13541E-05,-1.0063E-08,3.70527E-07,3.90016E-07,-2.17986E-07
-0.638448136,-0.277281362,0.405807842,0.526355206,-0.000488542,0.000278964,5.783E-05,-1.19664E-05,-2.81762E-08,3.80405E-07,3.90581E-07,-2.17725E-07
0.877506784,-0.131048802,0.337398524,0.961396175,-0.000485952,0.000269129,6.9595E-05,1.4318E-05,-4.67325E-08,3.89889E-07,3.91765E-07,-2.16775E-07
0.294713918,0.104168598,0.867196668,0.3960082,-0.000465381,0.000266679,9.02103E-05,3.79969E-05,-6.47764E-08,3.99099E-07,3.93566E-07,-2.14864E-07
-0.671052323,0.121578675,0.822488216,0.764593284,-0.000474727,0.000269104,0.000120101,5.77984E-05,-8.25395E-08,4.08273E-07,3.96331E-07,-2.1212E-07
-0.399201626,0.097035302,0.521618891,1.071339058,-0.00049741,0.000271381,0.000143225,9.05454E-05,-1.00856E-07,4.17503E-07,4.00106E-07,-2.08372E-07
0.171735172,0.662137398,0.569200175,0.268111969,-0.000503765,0.000284066,0.000161384,0.000113607,-1.19667E-07,4.26985E-07,4.04659E-07,-2.0356E-07
-0.272699614,0.743505329,0.331293756,-0.157125901,-0.000507657,0.000309165,0.000175809,0.000112909,-1.38608E-07,4.37158E-07,4.09822E-07,-1.98332E-07
-0.762209829,0.418396314,0.203033767,-0.243130987,-0.00052953,0.000329474,0.000183124,0.000102359,-1.57977E-07,4.48168E-07,4.15382E-07,-1.93338E-07
0.123136477,0.550966799,0.536461857,-1.005720815,-0.000543694,0.000345997,0.000194367,7.54904E-05,-1.77971E-07,4.59844E-07,4.21277E-07,-1.89082E-07
